psu_hh_idcode,hhid,subjectivePoverty_rating,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
30_8_1,3008,4,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
194_1_2,19401,1,2,2,48,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_6_1,22406,3,1,1,61,0,0,1,1,2.0,0.0,2.0,13.0,2.0
323_10_1,32310,5,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
428_10_1,42810,4,2,1,72,0,0,1,1,1.0,0.0,2.0,14.0,2.0
809_6_2,80906,3,2,2,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
138_2_1,13802,5,1,1,52,0,0,1,1,3.0,0.0,2.0,13.0,2.0
329_1_1,32901,2,1,1,59,0,0,1,1,3.0,0.0,2.0,2.0,2.0
409_8_1,40908,4,1,1,46,0,0,1,1,3.0,0.0,2.0,13.0,2.0
186_4_2,18604,5,2,2,49,0,0,1,1,2.0,0.0,2.0,2.0,2.0
688_5_1,68805,6,1,1,44,0,0,1,1,2.0,0.0,2.0,2.0,2.0
364_6_2,36406,3,2,2,38,0,0,1,1,2.0,3.0,2.0,2.0,2.0
528_8_1,52808,5,1,1,59,0,0,1,1,1.0,1.0,2.0,13.0,2.0
758_4_2,75804,7,2,2,57,0,0,1,1,9.0,0.0,2.0,13.0,2.0
647_5_2,64705,4,2,2,45,0,0,1,1,6.0,3.0,2.0,13.0,2.0
176_7_1,17607,3,2,1,59,0,0,1,1,2.0,0.0,2.0,2.0,2.0
328_8_1,32808,2,1,1,47,2,2,1,1,2.0,0.0,2.0,4.0,2.0
512_8_1,51208,6,1,1,66,0,0,1,1,3.0,0.0,2.0,13.0,2.0
431_4_1,43104,4,1,1,76,0,0,1,1,1.0,1.0,2.0,13.0,2.0
31_8_1,3108,5,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
174_2_3,17402,2,2,4,34,0,1,1,1,6.0,3.0,2.0,2.0,2.0
581_7_1,58107,1,1,1,54,0,0,1,1,3.0,0.0,2.0,13.0,2.0
60_1_1,6001,2,1,1,41,0,2,1,1,9.0,0.0,2.0,13.0,2.0
580_9_1,58009,1,1,1,65,0,0,1,1,2.0,0.0,2.0,2.0,2.0
742_8_1,74208,4,1,1,47,0,0,1,1,4.0,3.0,2.0,13.0,2.0
427_7_1,42707,5,1,1,75,0,0,2,1,1.0,0.0,2.0,2.0,2.0
589_5_1,58905,2,1,1,52,0,0,1,1,3.0,0.0,2.0,2.0,2.0
376_4_2,37604,5,2,2,37,0,0,1,1,7.0,0.0,2.0,13.0,2.0
452_1_1,45201,4,1,1,79,0,0,1,1,2.0,1.0,2.0,13.0,2.0
579_2_1,57902,1,1,1,62,0,0,1,1,2.0,0.0,2.0,2.0,2.0
223_7_1,22307,7,1,1,45,0,0,1,1,3.0,0.0,2.0,13.0,2.0
689_7_1,68907,8,1,1,33,0,0,1,1,3.0,0.0,2.0,4.0,2.0
797_5_1,79705,2,2,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
86_2_1,8602,4,1,1,55,0,0,1,1,2.0,0.0,2.0,2.0,2.0
203_3_1,20303,5,1,1,61,0,0,1,1,4.0,0.0,2.0,13.0,2.0
55_4_1,5504,5,1,1,46,0,0,1,1,9.0,2.0,2.0,13.0,2.0
575_5_1,57505,7,1,1,82,0,0,3,1,1.0,0.0,2.0,2.0,2.0
731_7_1,73107,7,1,1,75,0,0,1,1,2.0,0.0,2.0,2.0,2.0
482_3_1,48203,8,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
751_9_1,75109,4,1,1,72,0,0,1,1,2.0,1.0,2.0,13.0,2.0
147_8_1,14708,5,1,1,67,1,0,1,1,1.0,0.0,2.0,14.0,2.0
185_6_1,18506,1,1,1,53,0,1,1,2,,,,,
477_8_1,47708,5,2,1,56,0,0,1,1,3.0,0.0,2.0,2.0,2.0
262_1_1,26201,7,1,1,66,0,0,1,1,3.0,0.0,2.0,2.0,2.0
599_1_1,59901,7,1,1,41,0,0,1,1,2.0,3.0,2.0,3.0,2.0
773_4_2,77304,2,2,2,44,0,0,1,1,4.0,0.0,2.0,2.0,2.0
409_2_1,40902,4,1,1,58,0,0,1,1,2.0,0.0,2.0,13.0,2.0
311_5_1,31105,5,2,1,70,0,0,1,1,3.0,1.0,2.0,13.0,2.0
386_7_1,38607,2,1,1,48,2,0,1,1,2.0,0.0,2.0,13.0,2.0
62_4_2,6204,7,2,2,75,0,0,1,1,2.0,0.0,2.0,2.0,2.0
262_6_1,26206,8,1,1,43,0,0,1,1,9.0,0.0,2.0,2.0,2.0
507_4_1,50704,4,1,1,46,0,0,1,1,3.0,0.0,2.0,13.0,2.0
377_4_1,37704,3,1,1,63,0,0,1,1,2.0,0.0,2.0,2.0,2.0
305_1_1,30501,5,1,1,42,0,0,1,1,9.0,2.0,2.0,13.0,2.0
398_8_1,39808,6,1,1,68,0,0,1,1,2.0,0.0,2.0,2.0,2.0
322_5_1,32205,5,1,1,62,0,0,2,1,2.0,2.0,2.0,12.0,2.0
161_2_2,16102,2,1,4,22,0,1,1,1,2.0,3.0,2.0,13.0,2.0
361_5_1,36105,4,1,1,38,0,0,1,1,2.0,0.0,2.0,2.0,2.0
390_4_1,39004,2,1,1,37,0,0,1,1,2.0,1.0,2.0,13.0,2.0
640_7_2,64007,4,2,2,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
480_3_1,48003,6,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_2_1,2802,4,1,1,53,0,1,1,1,2.0,1.0,2.0,13.0,2.0
69_1_1,6901,2,1,1,31,1,0,1,1,1.0,0.0,2.0,2.0,2.0
197_2_1,19702,3,1,1,55,0,0,1,1,3.0,0.0,2.0,2.0,2.0
750_9_2,75009,3,2,2,42,0,0,1,1,3.0,2.0,2.0,13.0,2.0
367_3_1,36703,2,1,1,62,0,0,1,1,1.0,0.0,2.0,2.0,2.0
329_6_1,32906,3,1,1,52,0,0,1,1,2.0,0.0,2.0,2.0,2.0
829_1_2,82901,5,2,2,75,0,0,1,1,2.0,0.0,2.0,2.0,2.0
710_12_1,71012,6,1,1,25,0,2,1,1,7.0,2.0,2.0,13.0,2.0
235_8_1,23508,3,1,1,40,0,0,1,2,,,,,
517_3_1,51703,7,1,1,63,0,0,1,1,10.0,0.0,2.0,13.0,2.0
378_4_1,37804,3,1,1,35,0,0,1,1,2.0,0.0,2.0,2.0,2.0
146_5_1,14605,4,1,1,42,0,0,1,1,2.0,1.0,2.0,13.0,2.0
379_5_1,37905,3,1,1,48,0,0,1,1,3.0,1.0,2.0,12.0,2.0
391_5_1,39105,5,1,1,72,0,0,2,1,2.0,0.0,2.0,2.0,2.0
339_2_2,33902,5,2,2,62,0,0,1,1,3.0,0.0,2.0,13.0,2.0
507_8_1,50708,5,2,1,56,0,0,1,1,3.0,0.0,2.0,13.0,2.0
464_7_3,46407,6,2,4,23,0,2,1,1,7.0,1.0,1.0,,
381_6_1,38106,8,1,1,60,0,0,1,1,9.0,2.0,2.0,13.0,2.0
751_3_7,75103,8,2,7,64,0,0,1,1,4.0,0.0,2.0,13.0,2.0
601_6_1,60106,4,1,1,54,0,0,1,1,2.0,0.0,2.0,13.0,2.0
685_2_1,68502,4,1,1,45,0,0,1,1,2.0,1.0,2.0,13.0,2.0
624_2_2,62402,5,2,2,46,0,0,1,1,2.0,0.0,2.0,2.0,2.0
664_11_1,66411,3,1,1,74,0,0,1,1,2.0,0.0,2.0,2.0,2.0
777_2_2,77702,6,2,2,45,0,0,1,1,9.0,0.0,2.0,13.0,2.0
751_5_1,75105,4,2,1,76,0,0,1,1,9.0,0.0,2.0,13.0,2.0
322_11_1,32211,5,2,1,70,0,0,2,1,2.0,0.0,2.0,13.0,2.0
403_5_2,40305,6,2,2,54,0,0,1,1,2.0,0.0,2.0,13.0,2.0
803_4_1,80304,5,1,1,63,0,0,1,1,2.0,1.0,2.0,2.0,2.0
145_2_1,14502,5,1,1,65,0,0,1,1,2.0,1.0,2.0,13.0,2.0
392_4_1,39204,5,1,1,51,0,0,1,1,3.0,1.0,2.0,2.0,2.0
59_6_1,5906,3,2,1,62,0,0,1,1,1.0,1.0,2.0,13.0,2.0
829_8_2,82908,6,2,2,41,0,0,1,1,9.0,0.0,2.0,13.0,2.0
270_4_2,27004,6,2,2,50,0,0,1,1,2.0,0.0,2.0,4.0,2.0
660_6_1,66006,1,1,1,53,0,0,1,2,,,,,
63_8_1,6308,5,2,1,68,0,0,2,1,0.0,0.0,2.0,2.0,2.0
371_11_1,37111,9,1,1,30,0,0,1,1,3.0,1.0,2.0,1.0,2.0
301_10_1,30110,4,1,1,59,0,0,1,1,3.0,2.0,2.0,13.0,2.0
286_8_2,28608,7,2,1,39,0,0,1,1,2.0,0.0,2.0,13.0,2.0
333_2_1,33302,5,1,1,71,0,0,1,1,3.0,2.0,2.0,13.0,2.0
121_2_1,12102,5,1,1,55,0,0,1,1,9.0,1.0,2.0,13.0,2.0
284_8_1,28408,6,2,1,67,0,0,1,1,2.0,0.0,2.0,2.0,2.0
648_7_1,64807,5,2,1,48,0,0,1,1,3.0,3.0,2.0,13.0,2.0
67_10_1,6710,2,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
585_2_1,58502,5,2,1,77,0,0,2,1,1.0,1.0,2.0,13.0,2.0
147_9_1,14709,5,1,1,72,0,0,1,1,1.0,1.0,2.0,13.0,2.0
519_2_1,51902,5,1,1,56,0,0,1,1,3.0,0.0,2.0,13.0,2.0
496_8_1,49608,8,1,1,52,0,0,1,1,3.0,0.0,2.0,2.0,2.0
733_8_1,73308,2,2,1,26,0,0,1,1,2.0,0.0,2.0,13.0,2.0
184_11_1,18411,2,1,1,59,0,0,3,2,,,,,
619_5_1,61905,7,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
551_5_1,55105,4,1,1,69,0,0,1,1,3.0,0.0,2.0,2.0,2.0
474_1_1,47401,7,1,1,42,0,0,1,1,9.0,1.0,2.0,13.0,2.0
530_7_1,53007,7,1,1,52,0,0,1,1,5.0,0.0,2.0,13.0,2.0
8_7_1,807,4,1,1,70,0,0,1,1,1.0,1.0,2.0,13.0,2.0
146_3_1,14603,5,1,1,52,0,0,1,1,6.0,1.0,2.0,13.0,2.0
396_5_1,39605,2,1,1,75,0,0,2,1,1.0,1.0,2.0,13.0,2.0
